T IH N,T AH N,116
T IH N,T S D AY N,1
T IH N,T EH N,1
N G,N D G,112
 HH IH Z K, Y EH S K,1
D HH IH,D IH,1
N AH,N D AH,13
N AH,N T AH,1
AH Z,AH Z Z,1
AH Z,AH Z HH IH Z,1
AH Z,AH N D IH T IH Z,1
AH Z,AH AE Z,1
AH Z,AH L Z,1
Y AO R,Y IH R,2
IY AE N,IY AA N,2
IY AE N,IY IH NG AA N,2
IY AE N,IY AH N,9
IY AE N,IY IH T OW N,1
IY AE N,IY OW N,1
IY AE N,IY AO L OW N,1
M AA K D,M AY D,1
 AA HH AA, AA,1
D AH V,D IH V,1
R S,R S T S,1
Y UW T ER AA R,Y UH R,1
R B,R AH B,1
R W AO,R M AO,1
R N,R AA N,1
R N,R,1
 D AA N T D UW CH AA R L IY Z D ER T IY D IH SH AH Z,,1
M AH N S,M S,1
T AH K,T AA K,1
W ER M,W AO R M,2
L EY K,L AY K,1
T IH N G,T G,14
T IH N G,T DH AH G,1
T IH N G,T AH G,1
 D AE, DH AH AE,1
S AH Z,S ER Z,2
S AH Z,S IH Z,1
S AH Z,S EH Z,1
S AH NG,S AO NG,1
N HH IH M AO,N AO,1
 K L, L,1
L IH F W,L AY V W,1
Z S UW,Z T UW,1
UW DH D B,UW B,1
S M AH S AA ZH,S Y AO R F L AO Z,1
V AH,V DH AH,1
V AH,V W AH,1
M AH,M AH N AH,1
N K,N D K,3
N K,N T K,2
 HH IY HH, DH AH HH,1
F D AH N EH N IY TH IH NG F,F DH AE T AY HH EY T F,1
 B IY IH, DH AH IH,1
D L,D AH L,1
L IY AE M B,L DH AH EY B,1
L D TH R UW,L T UW,1
 IY T IH, AE D IH,1
R EH NG K TH M,R EY T S M,1
 AE T T, DH AH T,3
DH AH T W,DH IH S W,1
W EH L F TH D EY,W OW N T DH EY,1
W EH L,W IH L,6
N IH Z,N AE Z,2
N IH Z,N HH AE Z,1
 SH IY W AO R W AO R M F L IY S IY W UH L AH N OW V ER AO L Z,,1
L D DH,L DH,4
R IH Z,R Z,1
R AH P,R P,5
 W AY CH AA R JH M AH N IY F AO R S AH CH G AA R B IH JH,,1
D IH K,D AH K,1
T S AH S,T ER Z S,1
W UH D JH,W IH DH JH,1
L AO R,L AA R,1
G L OW,G OW,1
ER Z,ER IH Z,1
ER Z,ER TH,1
V HH ER ER,V ER,3
V HH ER ER,V AH ER,1
JH F,JH D F,3
NG AE T,NG IH T,2
 HH IH Z SH, DH AH SH,1
HH AE D Y AO R D,HH EY D,1
AA R K,AA K,1
K S UW,K SH UW,1
IH N G R IY S,IH NG S,1
AA SH W,AA CH W,13
AA SH W,AA CH K W,1
AA SH W,AA Z W,1
AA SH W,AA CH T W,1
W AO T,W AA N T,1
W AO T,W AH T,3
T ER AO L,T AH HH OW L,1
N OY L IY R,N ER AW N D R,1
N OY L IY R,N DH AH R,1
 B AH T, DH AE T,1
N AE Z S,N AH N D S,1
S UW N AE Z W,S OW W,1
EH R IY T UW R,EH R,1
R IH L,R EY L,1
S IH R K,S ER K,1
T S AH,T AH,8
 B IH F, F,1
EY Z IH,EY IH,1
M R IY V Y,M IH F Y,1
UW EH V,UW HH AE V,1
V ER IY F,V AH F,1
AY AA D,AY AO D,2
AY AA D,AY AO R D,1
AY AA D,AY AH D,2
N,N D,2
N,N IH D,1
N,N T,1
V AH S EH N T R AH,V AH,1
UW JH P,UW T UW P,1
IY N Z SH,IY S SH,1
D Y AO R D,D T UW D,2
D Y AO R D,D D,1
UW T IH N,UW N,2
UW T IH N,UW N AH N,1
W AO T ER,W AA CH W ER,1
ER AO,ER D AO,1
ER AO,ER F AO,1
 Y UW T, IH T T,1
V AH S,V IH S,1
V AH S,V ER S,1
N T R AH,N SH AH,1
K W IH DH L,K R IY AH L,1
AY N Z,AY Z,1
Z T UW IY,Z IY,1
HH AW S IH,HH AE Z IH,1
IH Z N AA T,IH T,1
N IH T S,N AH S,1
S EH L F,S AO R F,1
F AH N,F AO R N,1
F AH N,F AY N,1
F AH N,F AE N,1
OY EH V ER IY F AY L R,OY AH R,1
IH L EY T IH,IH F ER IH,1
IH D T,IH NG T,1
D AH,D IY AH,3
AH T S,AH N S,3
 B AA B P, DH AH P,2
 B AA B P, DH AE T P,1
 B AA B P, AH P P,1
ER D OW,ER OW,1
ER L IH V IH NG R UW M,ER AH N D AY M,1
M M Y UH R,M IY N DH AH HH IH R,1
R AH L Z,R OW Z,3
UW W AY L W,UW AA R W,2
 M IH D IY V AH, DH AH,1
 M IH D IY V AH, DH AE T EY B AH,1
AH L,AH HH OW L,1
AH L,AH P L,1
 SH IY HH, Y UW HH,1
 SH IY HH, DH AH HH,1
 SH IY HH, HH,1
AA SH W AO,AA CH F L AO,1
AA SH W AO,AA CH B AO,1
AO T ER AO,AO R AH D AH AO,1
AO T ER AO,AO R AO,1
L Y IH R,L IY R,1
 Y UW Y, Y,1
P Y UW T,P IY T,2
Z R AH,Z W AH,1
M TH EY R,M DH EH R,3
R W AO R N,R OW N,1
T ER R,T AH L R,1
M S,M Z S,1
M S,M ER S,1
P ER Z,P OW Z,1
B UH K,B AA K,1
S AA R F,S AO F,1
F AO R SH,F AH S SH,1
K AE R,K Y UH R,2
K AE R,K EH R,1
K AE R,K AO R,1
R IY AE,R AE,2
 AH N D P, P,1
V HH ER ER EY N,V AH R AE N,1
N JH F AO R AH M,N CH ER M,1
NG AE T T,NG AH P T,1
NG AE T T,NG DH EH M T,1
N OY L,N ER L,4
N OY L,N D AO L,5
N OY L,N L,3
N OY L,N D OW N L,2
N OY L,N OW L,1
N OY L,N AO L,2
V IH N,V AH N,1
N F,N D F,3
N F,N AH F,1
N F,N T F,1
L IH,L IY IH,2
 L EH T, DH AE T,1
L AH V,L HH AE V,1
L AH V,L IH V,1
F HH IY W,F Y UW W,2
N D SH,N SH,1
N D SH,N Z SH,1
 V EY S, DH IH S,1
S AA R,S AO R,4
S N,S AH N D N,1
 SH IY HH AE D Y, Y,2
 SH IY HH AE D Y, S ER JH Y,1
D AA R K,D EH K,1
 IY CH IH Z S, S,1
Z F AO R R IY L,Z,1
 DH AH S M AO L B OY P UH T DH AH W ER M AA N DH AH HH UH K,,1
 AH, DH AH,8
IH S T S,IH S,1
IY P F,IY V F,2
 B AE L, DH AH L,1
EY Z,EY D IY Z,1
EY Z,EY ER Z,1
AH V M,AH M,1
ER D T,ER T,1
W AO R,W EH R,1
 IH G, G,3
G W AA N,G Y UW AH N,2
N AH Z,N AE Z,3
N AH Z,N IH Z,1
Z AH N,Z AE N,1
Z AH N,Z N,1
N D AE,N AE,2
ER Z AA R T,ER T,1
IY AE N OY,IY IH NG OY,1
N AH W,N W,1
W UH M AH,W EH N DH AH,1
AH N K,AH K,1
IY IH NG AH,IY D AH,1
D AH D AH M B,D ER B,1
R EH L,R AO L,1
L AH AE,L AE,1
 IH F DH AH F, F,1
M IH Z,M ER Z,1
M IH Z,M AE Z,1
IY AA R,IY AO R,7
R W UH D B,R B,2
 B AA R B B ER N D P, P,1
Z IH N,Z AH N,11
AA N F,AA M F,1
F AY ER,F AA R,2
L AA AE,L AO AE,3
AH M ER,AH B ER,1
ER R IH,ER IH,1
T AH N,T,1
T AH N,T N,1
N Z SH,N SH,2
N Z SH,N D SH,1
AO L Y,AO R Y,5
 P, DH AH P,1
P EH N,P IH N,1
N D IH N,N AH N,1
N M,N D M,3
R EH N D,R D,1
ER AH N S,ER T,1
DH EH R W,DH AE T W,1
R B B,R B,3
ER N D P,ER AH P,3
S P AO,S K AO,1
R T,R,1
R T,R AH T,1
IH N G,IH T G,1
IH N G,IH M G,1
IH N G,IH NG G,2
R D DH,R DH,3
Z D DH,Z DH,4
W IY G,W IH DH G,1
V W AO,V AO,4
AH N M,AH V ER M,1
AH N M,AH M,1
Z TH IH N,Z T ER N,1
ER DH AE N,ER Z AH N,1
N AY,N D AY,1
 IH, DH AH IH,2
Z AH N D AE,Z DH AE T AE,1
Z AA R,Z AO R,7
N N,N AH N,1
AH P,AH P P,3
P EH K,P IH K,2
P EH K,P AE K,4
