D Y AO R D,D HH ER D,3
D Y AO R D,D DH AH D,1
D Y AO R D,D N OW D,1
D Y AO R D,D D,2
D Y AO R D,D T UW IH N D,1
D Y AO R D,D T UW D,2
UW T IH N G R,UW D AA R,1
R IY S,R S,1
S IY W AA,S AH N AH ER AA,1
AA SH W AO T ER,AA N HH ER,1
ER AO L Y IH R,ER,10
D AA N T AE S K M,D AH Z M,1
IY T UW K,IY DH AH K,1
IY T UW K,IY AY K,1
IY T UW K,IY K,2
IY T UW K,IY AH K,1
IY AE N,IY AH N,3
IY AE N,IY EY SH AH N,1
IY AE N,IY W AH N,1
IY AE N,IY IH N,1
N OY L,N D IH L,1
IY R AE,IY G AE,1
AE G L,AE L,1
L AY K DH AE T,L IH T,1
T,T IY,1
T,T AH,1
T,T AH D,1
 HH IH, IH,1
IH Z K,IH T S K,1
Z TH IH N,Z P AY N,1
N AH N D HH AE G ER D AH N,N IH NG IH N,1
N D HH,N HH,1
S W ER W,S R IH W,1
R N AH,R D AH,1
D SH AE,D DH AE,1
AE B IY,AE T,1
DH IH S,DH AH S,1
S D AY,S K AY,1
AY V S IY M D F UW L IH,AY Z W IH,1
IH SH N,IH DH AE N,1
N AW,N,1
 P R AH D AH K SH AH, AY Y UW N AH,1
AH N M EY F,AH F,1
F AO L F AA R B IH L OW EH K S P EH K,F AH K,1
K T EY,K EY,1
N Z,N,2
 P IY T, IH T,1
T S ER IY AH Z AA R,T R,1
R K AH N V IY,R IY,1
IY N Y AH,IY AH,1
AH N T F AO R AH K W IH K L AH,AH S ER SH AH,1
N CH,N,1
P UH T DH AH B UH CH ER B L AA,P AA,1
AA K T,AA R T,1
T EY B AH L IH N DH AH G ER AA ZH,T,1
 D R AA P, P,1
P F AY V F AO R,P UW R,1
R M Z IH N DH AH B,R B,1
S AH V OW,S OW,1
S K ER T S AH,S P IH R AH,1
AH N D B L,AH T L,1
L AW S,L AH S,1
S AH Z,S,2
S AH Z,S T,1
N IH K S K L UW D AH D,N,1
 SH IY, S IY,1
 SH IY, HH IY,12
 SH IY, IY,1
IY HH AE D Y AO R D AA R K S UW T IH N,IY Z AH N,1
N G R IY S IY W AA SH W AO T ER AO L Y IH R,N,16
N G R IY S IY W AA SH W AO T ER AO L Y IH R,N AH,2
N G R IY S IY W AA SH W AO T ER AO L Y IH R,N OW,4
N G R IY S IY W AA SH W AO T ER AO L Y IH R,N D,1
 D AA N T AE, AE,12
 D AA N T AE, HH AE,1
 D AA N T AE, M AE,2
 D AA N T AE, AE Z AE,1
AE S K M IY T,AE Z T,2
AE S K M IY T,AE V T,2
AE S K M IY T,AE T,1
N OY L IY R AE G,N OW T G,1
G L AY K DH AE T,G R EY,1
 HH AH S K IY Y AH, AE Z AH,1
AH NG M,AH M,1
D W IH DH M AA,D AA,1
AA K D,AA N D,1
T EY S T,T AH N T,1
 AA HH AA HH IY TH AO T AH L AH SH D AH V AO R S IY AE T L AE S T, AY,1
 DH AH, AH,6
S T EH K N IH K AH,S AE S AH,1
AH L IH F IH SH,AH N EY SH,1
N S IY IH Z,N Z,1
Z AH CH IY V D AE,Z AE,1
AE T DH AH IH K S P EH N,AE N,1
N S AH V AE K CH AH W AH L IH,N T IH,1
IH K S,IH S,1
S P IH R IY,S IY,1
IY AH,IY D AH,1
N S,N T S,1
N S,N,5
N S,N D S,1
 AA B JH EH K T S M EY D AH V P Y UW T ER AA R B Y UW T, AY AE T,1
T AH F AH L,T,1
 DH AH M AO R N IH NG D UW AA N DH, DH,1
AH S P AY D ER W,AH W,1
W EH B G L IH S AH N D IH N DH AH S AH,W AH,1
 CH IY P S, AY D IH S,1
 CH IY P S, S,1
S T AA K IH,S IH,1
IH NG Z R,IH N HH EH R,1
R AH N DH AH,R AH,1
AH F ER S T T,AH T,1
T AY M TH EY R W AO R N,T IH D,1
T AY M TH EY R W AO R N,T,2
 D AA N T D UW CH AA R L IY Z D ER T IY D IH SH AH Z,,3
 K AE L S IY AH M M EY K S B OW N Z AH N D T IY TH S T R AO NG, AY,1
 K AE L S IY AH M M EY K S B OW N Z AH N D T IY TH S T R AO NG,,1
 SH IY HH AE D Y AO R D AA R K S UW T IH N G R IY S IY W AA SH W AO T ER AO L Y IH R,,60
 SH IY HH AE D Y AO R D AA R K S UW T IH N G R IY S IY W AA SH W AO T ER AO L Y IH R, AY,7
 SH IY HH AE D Y AO R D AA R K S UW T IH N G R IY S IY W AA SH W AO T ER AO L Y IH R, AH,1
 SH IY HH AE D Y AO R D AA R K S UW T IH N G R IY S IY W AA SH W AO T ER AO L Y IH R, DH AH,1
 SH IY HH AE D Y AO R D AA R K S UW T IH N G R IY S IY W AA SH W AO T ER AO L Y IH R, AY AY,1
 D AA N T AE S K M IY T UW K AE R IY AE N OY L IY R AE G L AY, AY,8
AY K DH AE T,AY,7
AY K DH AE T,AY D,1
AY K DH AE T,AY T,1
 IH N W EY JH N AH G OW SH IY EY SH AH N Z DH AH IH N D AH S T R IY B AA R G AH N Z AE Z AH Y UW N AH T W IH DH AH S IH NG G AH L Y UW N Y AH N, AY,1
 HH IY V AA N DH OW Z R OW P S DH AH B OW T S K AH M AH N S T AH K,,1
 M AH T IH R IY AH L Z S ER AE M IH K M AA D AH L IH NG K L EY R EH D W AY T AO R B AH F,,1
