D Y AO R D,D HH ER D,27
D Y AO R D,D AH D,24
D Y AO R D,D D,10
D Y AO R D,D DH AH D,3
D Y AO R D,D T UW D,2
T IH N,T AH N,99
T IH N,T AO N,1
T IH N,T EH N,1
N G,N D G,100
N G,N T G,1
S IY,S HH IY,9
SH W,SH T W,3
 D AA N T, T,25
 D AA N T, B AH T,1
 D AA N T, AE T,1
T AE,T UW AE,25
T AE,T S AE,1
Z TH IH N,Z DH EH N,1
Z TH IH N,Z F AY N,1
Z TH IH N,Z T EH N,1
N AH N,N IH N,1
N AH N,N AO N,1
N D HH,N HH,2
DH IH S,DH AH S,2
S D AY,S AY,1
AY V S,AY D S,1
 P IY, HH IY,1
 P IY, R IY,1
IY T S ER IY,IY R IY,1
IY AH Z,IY Z,2
Z AA R K AH,Z AH,1
N V IY N Y AH N T F,N IH NG F,1
B UH CH ER,B AH T ER,1
L AA K,L AE K,1
 D R, B R,1
 D R, R,1
R AA P F AY V F,R AO T T UW F,1
D Y AO R D AA R K,D DH AH T AE K,1
D Y AO R D AA R K,D AH AE K,1
D Y AO R D AA R K,D T UW K,1
K S,K T S,1
K S,K AH S,2
K S,K AE S,1
S UW T IH N,S OW AH N,2
S UW T IH N,S AA D AH N,1
S UW T IH N,S IY AH N,1
S UW T IH N,S AY R EH N,1
R IY S,R EY S,10
R IY S,R AH S,1
S IY W,S W,28
S IY W,S IH NG W,4
AA SH W,AA Z W,11
AA SH W,AA CH W,3
AA SH W,AA S T W,12
AA SH W,AA CH T W,3
HH AH S K,HH AE K,1
K IY Y AH,K AH N AH,1
AH NG M AE N,AH N,1
N HH,N D HH,2
S EH D W,S AE T W,1
DH M AA K D,DH AH D,1
 AA HH AA, AA,1
AH L,AH B L,1
AH L,AH D,1
AH L,AH P EH L,1
AH L,AH IH L,1
SH D AH V,SH AY V,1
V AO R S IY AE,V ER AE,1
 DH AH S, AE S,1
 DH AH S, S,1
T EH K N IH K AH,T AH,1
AH L IH F IH SH AH,AH R AH,1
AH N S,AH S,1
IY IH,IY AH N IH,1
AH V P,AH P,4
P Y UW T ER AA R,P IH R,2
R B,R AH V B,1
R B,R AH B,1
 CH IY, SH IY,1
IY P S,IY S,1
IY P S,IY F S,3
R AH N,R AE N,1
M TH EY R W AO R N,M DH AE T AE N,1
UW CH AA R L,UW K AE L,2
L IY Z D ER T,L IH T,1
T IY D IH SH AH,T R AH,1
AH Z,AH CH,1
 K AE L S, Y UW S,1
IY AH M,IY M,1
M EY K S,M AE S,1
M EY K S,M EH N S,1
S B OW N,S AH N,1
S B OW N,S IH N,1
N Z AH,N AH,2
N Z AH,N DH AH,1
AH N D T IY TH,AH TH,1
TH S T R AO NG,TH,1
IY V AA,IY AA,1
M AH N,M AA N,2
M AH N,M EH N,1
M AH N,M AE N,1
M AH N,M IH N,1
T AH K,T AA K,1
S ER AE M IH K M,S IY M,1
M AA D AH L IH,M IH,1
NG K L,NG L,1
L EY R,L IY R,1
L Z,L,12
AH B T EY,AH V P EY,1
W AA SH W,W IH DH W,8
Y IH R,Y UW,2
 D AA N, TH AH N,1
 D AA N, N,1
N T AE S K M,N EY Z M,1
N T AE S K M,N EH Z M,1
 D AE, AE,1
S AH Z,S ER Z,1
S AH Z,S IH Z,3
S AH Z,S IY,1
S AH NG,S AO NG,1
K AH N,K IH N,1
 M AY, AY,3
HH IY R S,HH ER S,1
IY AW AO,IY T AO,2
T S M,T M,7
K L IH F W,K OW W,1
K L IH F W,K W,1
M AH S,M EH S,3
S AA ZH,S AH JH,3
S AA ZH,S AY D,1
 IY CH AH, AH,2
 IY CH AH, F AE M AH,1
N T,N D T,3
N T,N EY T,1
L AO S,L AE S,4
L AO S,L EY S,1
L AO S,L UW S,1
S K,S T K,4
S K,S,1
IY AE Z,IY Z,3
IY AE Z,IY IH Z,1
T IH N G,T AH G,2
T IH N G,T G,5
T IH N G,T AH D G,1
IY AE N OY L IY R,IY Y AO R,1
IY AE N OY L IY R,IY AH AO R,1
IY AE N OY L IY R,IY IH T AH W EY R,1
IY AE N OY L IY R,IY IH T EH R,1
IY AE N OY L IY R,IY AH R,1
R AE G L,R EY JH L,2
R AE G L,R AH K AH L,4
R AE G L,R D ER D L,2
R AE G L,R EH D L,5
R AE G L,R IH L,2
R AE G L,R AH L,1
R AE G L,R AY T L,2
R AE G L,R AY D L,1
R AE G L,R L,1
R AE G L,R T AH K AH L,1
F D AH N,F B IH N,1
CH AH V AH,CH IH N AH,1
 B IY IH, DH AH IH,1
N D D,N D,1
D AA N,D AO N,1
D AA N,D AH N,1
N T AY D EH,N JH EH,1
T AH F AY Y ER S EH L,T IY L,1
L F,L,1
K OW AH,K AH,1
S AY D,S IH D,1
D AH D W IH,D ER IH,1
IH DH M,IH TH M,1
D N,D AA N,1
N IH R DH,N DH,1
UW L UH K,UW K,1
 AH B IH G G OW T AY, AY AY,1
IY AE M B,IY EY B,1
L D TH R UW,L T UW,1
N DH AH T W,N HH IH Z W,1
W EH L,W AA L,1
W EH L,W AY L,1
W EH L,W IH L,4
L F TH,L TH,1
TH D EY W EH L,TH AH L,1
V SH AH B L,V S IH L,1
V SH AH B L,V S AE D L,1
IY IH Z,IY AE Z,1
R D EH N,R T AH N,1
 D AA G Z D, Y UW D,1
M F L,M L,2
M F L,M P L,3
W UH L,W OW L,1
W UH L,W IH L,2
W UH L,W EH L,1
 R AE, AE,1
AE L F K,AE Z K,1
L D DH,L DH,3
L D DH,L AH V DH,2
S B R,S P R,5
S B R,S F R,1
OW SH UH,OW K Y UH,2
