 SH IY HH AE D Y AO R D AA R K S UW T IH N, EH N,9
 SH IY HH AE D Y AO R D AA R K S UW T IH N, W AH N,8
 SH IY HH AE D Y AO R D AA R K S UW T IH N, N,1
 SH IY HH AE D Y AO R D AA R K S UW T IH N, DH EH N,1
N G R IY S IY W AA SH W AO T,N T,9
 D AA N T AE S K M IY T UW K AE R IY AE N OY L IY, HH IY,56
IY R AE G L AY K DH,IY DH,2
 HH IH Z K AE P T AH N W AA Z TH IH N AH N D HH AE G ER D AH N D HH IH Z B Y UW T AH F AH, DH AH,1
AH L B,AH B,1
 DH AH R IY Z AH N Z F AO R DH IH S D AY V S IY, HH IY,1
IY M D F UW L IH SH N,IY N,1
 P R AH D AH K SH AH N M EY, HH IY EY,1
EY F AO L F AA R B IH L OW EH K S P EH K T,EY T,1
T EY SH AH N Z,T,1
 P IY T S ER IY AH Z AA R K AH N V IY N Y AH N T F AO R AH K W IH K L AH N CH, AY,3
 P IY T S ER IY AH Z AA R K AH N V IY N Y AH N T F AO R AH K W IH K L AH N CH,,1
 P UH T DH AH B UH CH ER B L AA K T EY B AH L IH N DH AH G ER AA ZH, HH IY,1
 P UH T DH AH B UH CH ER B L AA K T EY B AH L IH N DH AH G ER AA ZH, AY,5
 P UH T DH AH B UH CH ER B L AA K T EY B AH L IH N DH AH G ER AA ZH,,1
 D R AA P F AY V F AO R M Z IH N, W AH N,1
N DH AH B AA K S B IH F AO R Y UW G OW AW T,N,1
 HH ER W AO R D R OW B K AH N S IH, IH,1
IH S T S AH V OW N L IY S K ER T,IH T,1
T S AH N D B L AW S AH Z,T,1
 EH L D ER L IY P IY P AH L AA R AO F AH N IH K S K L UW D AH D, AY,4
 EH L D ER L IY P IY P AH L AA R AO F AH N IH K S K L UW D AH D,,3
 SH IY HH, HH,56
 SH IY HH, AY HH,4
HH AE D Y AO R D AA R K S UW T IH N G R IY S IY,HH IY,54
AA SH W AO T ER AO L,AA Z B EH R L,1
L Y IH R,L IY,6
L Y IH R,L,1
L Y IH R,L HH ER,2
IY R AE G L AY K DH AE T,IY,56
 HH AH S K IY Y AH, DH AH,1
AH NG M AE N HH IY S EH D W IH DH M AA K D,AH D,1
 AA HH AA HH, HH,1
HH IY TH AO T AH L AH SH D AH V AO R S IY,HH IY,1
 DH AH S, HH IY S,1
S T EH K N IH K AH L IH F IH SH AH N S IY IH Z AH CH IY V,S EY V,1
 AA B JH EH K T S M EY D AH V P Y UW T ER AA R B Y UW T AH F AH L, AY,3
 AA B JH EH K T S M EY D AH V P Y UW T ER AA R B Y UW T AH F AH L,,2
 AA B JH EH K T S M EY D AH V P Y UW T ER AA R B Y UW T AH F AH L, HH IY,2
 DH AH M AO R N IH NG D UW AA N DH AH S, S,1
S P AY D ER W EH B G L IH S AH N D IH,S OW IH,1
 CH IY P S T AA K IH, IH,1
IH NG Z R AH N,IH N,1
AH F ER S T T AY M TH EY R W,AH W,1
W AO R N,W AA N,1
 D AA N T D UW CH AA R L IY Z D ER T IY, HH IY,1
IY D IH SH AH Z,IY,1
 K AE L S IY, HH IY,1
IY AH M M EY K S B OW N Z AH N,IY AA N,1
N D T IY TH S T R AO NG,N,1
IY W AA SH W AO T ER AO,IY AO,1
AO L Y IH R,AO R,2
 IH N W EY JH N AH G OW SH IY EY SH AH N Z DH AH IH N D AH S T R IY B AA R G AH N Z AE, AY AE,1
AE Z AH Y UW N,AE N,1
N AH T,N T,1
IY V AA N DH OW Z R OW P S DH AH B OW T S K AH M AH N S T AH K,IY,1
 M AH T IH R IY AH L Z S ER AE M IH K M AA D AH L IH NG K L EY R EH, N OW W EH,1
EH D W AY T AO R,EH R,1
R B AH F,R,1
