T IH N,T AH N,139
T IH N,T EH N,1
N G,N D G,140
N G,N D IH G R IY G,1
R D AA R K,R AH T AE K,1
UW T IH,UW N IH,1
 AA HH, HH AE HH,1
HH AA HH,HH AH HH,1
D AH V,D IH V,1
R S,R S S,1
 D, AY D,1
 DH AH, AH,4
T IH S T S,T AH S,1
S AH B T EY N P AA P Y AH L EH R AH T,S T,1
T IY,T,1
S IY W,S DH AH W,3
S IY W,S IH NG W,1
S AH Z,S HH AE Z,1
D L,D AH L,1
L IY AE M B,L DH AH EY B,1
L D TH R UW,L T UW,1
L D DH,L DH,4
R AH P,R P,3
 W AY CH AA R JH M AH N IY F AO R S AH CH G AA R B IH JH,,1
L IH T,L AH N T,1
W UH D JH,W IH DH JH,1
V HH ER ER,V ER,2
V HH ER ER,V AO R ER,1
JH F,JH D F,2
NG AE T,NG IH T,5
D Y AO R D,D AH D,4
D Y AO R D,D Z AH D,1
D Y AO R D,D D,1
IY AE N,IY IH NG AA N,1
IY AE N,IY AA N N,1
IY AE N,IY IH N,1
IY AE N,IY AH N,5
IY AE N,IY AA N,2
N OY L IY R,N AH R,1
N OY L IY R,N R,1
IY T UW R,IY R,1
K AH T,K OW T,1
 B IH F, F,2
EY Z IH,EY IH,1
M R IY V Y,M IH F Y,1
UW EH V,UW HH AE V,1
V ER IY F,V AH F,1
JH EH F TH,JH AH S T TH,1
IY N Z SH,IY S SH,1
 Y UW T, HH IY T,1
Z D T,Z T,1
K W IH DH L,K R IY AH L,1
AY N Z,AY Z,1
Z T UW IY,Z IY,1
D AH,D IY AH,1
AH T S,AH N S,1
N OW T,N AA T,1
NG R UW M M,NG W IH DH M,1
N DH AH S,N S,1
Z R AH,Z AH,1
N DH,N D DH,1
M TH EY R,M DH EH R AA R,1
W AO R N,W AH N,1
T ER R,T AH L R,1
D AW ER AO,D AA R AO,1
T IH N G,T G,5
JH F AO R AH M,JH HH ER M,1
JH P ER,JH M ER,1
AH S,AH N T,1
N AW DH,N OW DH,1
 V EY, F EY,1
 AH L, L,1
L AW L,L OW L,1
W EY HH IY R,W EH R,1
R B AH T R,R IH NG Y AO R R,1
M ER AH,M AH R AH,1
S T K,S K,1
B AE L,B IH L,1
K AO,K W AO,2
K AO,K F AO,1
R D ER,R T ER,2
ER OY,ER R OY,2
ER OY,ER F OY,1
SH IY HH AE D,SH EH D,1
SH IY HH AE D,SH EH R D,1
M IH Z,M ER Z,1
R N,R AH N,2
R B B,R B,6
N D P,N P,2
UW IH N,UW AH N,1
N IH,N D IH,1
N K L IY N Z SH,N DH AH SH,1
ER N D P,ER AH P,3
N G R,N K R,3
N N,N D N,1
P EH K,P AE K,4
S T D,S D,1
K T DH,K IH NG DH,2
K T DH,K S DH,1
K T DH,K DH,3
NG IH N,NG AH N,6
N P,N D P,8
P T,P AE T,1
AA D AH,AA N T AH,1
HH EH M,HH AE M,1
Z B IH,Z V IH,1
Z IY F IY T,Z AH T,1
T SH,T DH AH SH,1
Z IH T S,Z DH AH S,1
UW F,UW W IH L F,1
F AW L,F AO L,1
S IH N,S AH N,1
N L,N D L,2
CH DH,CH T DH,1
Z D DH,Z DH,3
 G, AY G,4
D DH,D Z DH,1
B AH N D K,B K,1
AE V B,AE Z B,1
 DH AH F, D IH F,1
N OY L,N ER L,2
N OY L,N AO R M AH L,1
N OY L,N AO L,2
N OY L,N D OW N L,3
N OY L,N OW L,1
N OY L,N OW N L,1
N OY L,N D AO L,1
R AE G,R IH G,2
L IH P,L EH P,1
N DH AH,N AH,1
W EH DH ER,W AO T ER,1
N D T,N T,7
S AE T,S EH T,4
AA N D,AA D,2
D AH N,D IH N,1
N D S,N S,1
N D S,N T S S,1
CH T DH,CH DH,4
DH IY Z SH,DH AH SH,1
DH AE N,DH EH N,5
V AH,V W AH,1
AH HH,AH N HH,1
 P UH T DH, W IH DH DH,1
T S AH,T AH,2
M D AA,M DH AH AA,1
 L, AH L,1
 L, G L,1
Z F AO R,Z R,1
R AO L HH,R AA HH,1
 AH CH, CH,1
L Z,L IH S T S,1
L Z,L,1
NG EH N,NG IH N,1
N Z AY M P,N S IH N P,1
B EH G ER,B EY K ER,1
P IH Z,P AE Z,1
T S F,T F,1
AH S T S,AH S,1
P L,P AH L,1
IY Z T,IY S T,1
ER Z SH,ER SH,3
UW D AW ER AO,UW AA R AO,1
UW D AW ER AO,UW T UW AO,1
UW D AW ER AO,UW AO R AO,1
G,G Z,1
AE D Y,AE Z Y,4
N IH Z,N HH AE Z,1
 IH F P, P,1
Z IH N,Z AH N,3
N AH,N D AH,2
N AH,N DH AH,1
R M,R AH M,1
R M,R AH M M,1
AY AO L P,AY AA N P,1
Z M,Z D M,3
AY,AY V,1
AY,AY N,1
R IH N D,R AE B D,1
IH DH DH,IH DH,2
IY AE Z,IY Z,2
IY AE Z,IY IH Z,1
K OW P,K AA P,1
M TH EY,M DH EY,3
EY R,EY AA R,3
EY P Y,EY T Y,1
D S,D Z S,1
S EH D,S OW D,1
D Y,D UW Y,1
W AO R,W EH R,1
SH OW D,SH UH D,1
L IH Z,L AE Z,1
L IH Z,L W AA Z,1
IY S SH,IY SH,1
DH IH S S,DH AH S,1
V W AO,V AO,1
F AA F,F OW F,1
N AH M,N IY M,1
M AH K,M IH K,1
EY G IY,EY K IY,1
IY S,IY Z,1
IY S,IY Z S,1
DH AE T G,DH EH R G,1
DH AE T G,DH EY G,1
AY Z S,AY S,1
M AA P T TH,M AY TH,1
P AH L S,P AE S,1
DH EH R P,DH AH P,1
W IH L,W EH L,1
UW TH F EH L,UW DH AH B EY L,1
B AA R B,B IY B,1
B IH K,B IY K,1
B OW L,B AO L,1
IY HH AE,IY AE,1
F UW L W,F AO R W,1
 V Y, D UW Y,1
S IH N F,S AH M F,1
AA N D AH N,AA N,1
 B EH G DH, T EY K DH,1
 B EH G DH, DH,1
T G AA,T K AA,1
 HH ER R, R,1
D EY K S W,D EH G Z W,4
K AE R,K EH R,2
R IY AE N,R AH L AY N,1
N OY,N AH OY,1
K UH D DH,K AA Z DH,1
 AH B, B,2
T HH ER R,T F AO R R,1
EH M B L,EH L,1
OW IH F,OW AH F,1
IY IH N B,IY AH B,1
ER AO L,ER HH OW L,1
ER AA R,ER AO R,1
T AH N,T IH N,1
T AH N,T AO N,1
N D SH,N SH,1
NG AE T T,NG AH N D T,1
TH IY M,TH IH NG,1
AE F AH,AE TH AH,1
L AW D,L AA T,1
B EY K S,B IH G S,1
S T,S IH N T,1
S T,S T UW T,1
IH N M AY AE M IY,IH NG,1
B B,B ER AH B,1
 F AE, DH AE,1
G IH V Z D,G EH T S D,1
 T UW F, F,1
HH IH Z,HH UW Z,1
Y EH L,Y EY L,2
L IY R,L DH AH R,2
L IY R,L AH R,2
L IY R,L D R,1
L IY R,L IH R,1
AE G L,AE K L,1
T IH,T HH IH,1
T IH,T AH N D IH,1
IH T S AE,IH Z AE,1
L AO R,L AA V R,1
L AO R,L AH R,1
R IH S K,R AH Z K,1
R IH S K,R AY Z K,1
W ER IY,W EH R IY,1
Z N AA T IH,Z IH,1
IY P AE N IH K DH EY G EY V W EY T UW B AH T DH,IY DH,1
DH EY K UH D N AA T JH AH,DH AH,1
AH S T S IH T DH EH R,AH,1
Z D IH G M,Z T EY K M,3
R IY AE,R AE,1
AH TH IY M,AH M,1
M M,M EY M,1
P AA R,P AO R,1
R T,R D,1
EY N M,EY M,2
IY AH N,IY IH N,2
R OW AE,R AE,1
SH T,SH T T,1
S AW N,S AE N,1
D AH V JH EH N,D D UW N,1
F AH R Z B,F ER S T B,1
N T AH,N AH,1
L OW P,L AO G,1
N Z S,N IY S,5
AE N OY L,AE T AO L,1
D DH AH P,D D IH P,1
EH Z AH,EH SH AH,1
N T B,N B,1
L AY,L AE F,1
Z AH,Z DH AH,2
AH V AY,AH AY,1
IY AO R W IH M Z IH K AH L,IY,1
D IH Z,D EH Z,1
T S S,T S,1
T S R,T DH AH R,1
N AE,N D AE,2
IH V Z D,IH F T S D,1
 AA R Y, Y,1
HH AE D,HH ER D,2
M AE N,M EH N,1
V AA K,V AO L K,1
 AE T T, AH T,2
W EH L,W IH L,1
R W,R AH W,4
W UH L,W IH L,2
W UH L,W EH L,1
N OW,N D OW,3
D AH R,D IH R,1
IY K,IY AH K,1
T IY V W AO,T EY F AO,1
AE D Y AO R D,AE Z AH D,1
Z AA IH,Z AE N IH,1
L IH N,L AH N,1
N D W,N W,1
S AE T B,S EH D B,1
DH AH,DH AH AH,1
P AA N,P OW N,1
N D AH,N AH,1
T DH AH S,T UW S,1
T DH AH S,T S,1
R EY G,R AY K G,2
HH EH N,HH AE N,1
M IH N,M AH N,1
N AE N AH,N D IH T AH,1
Y UW W ER IH,Y OW Y AH R IH,1
IY W,IY Y UW W,1
 HH UW, T UW,1
R AE G L,R EH D L,1
R AE G L,R AA K L,1
 DH AH S, S,1
JH IH Z,JH AH Z,1
SH AH B L,SH IH P L,2
 D AA N T, IH T,1
K M,K T M,1
K M,K F AO R M,1
S P,S AH V P,1
AH N M,AH V ER M,1
N K,N T K,1
 IH G, HH IY G,1
G W AA N,G Y UW AH N,1
N AH Z,N AE Z,1
Z AH N,Z N,1
N D AE,N AE,1
AE L AH,AE V AH,1
EY D T,EY IH NG T,1
R EY N,R AY T,1
Z AO L EH R ER,Z AW ER,1
 D UW, T UW,1
K T,K T T,1
T IH V S,T UW S,1
UW M AY AA D AH T,UW IH T,1
M Y UH R,M AO R,1
R IY S IY,R EY Z IY,1
M ER AW,M AH R AW,1
 D AA N T AE S K M IY T UW K AE R IY AE N OY L IY R AE G L AY K DH AE T,,1
IY AH V,IY HH AE V,1
P IY S AH,P EY SH AH,1
N D R,N T R,1
N D R,N R,1
ER EY JH,ER IH JH,4
NG IH F F,NG AH N D F,1
NG IH F F,NG AH V F,1
R IY S,R EY S,2
 DH AH P, P,1
IY T AH,IY D AH,1
L D IH R,L DH EH R,1
S S,S T S,1
S IY M,S EY M,1
 DH AH K, K,1
S IH,S EY IH,1
B AA G G,B OW L G,1
IH D DH,IH NG DH,1
IH D DH,IH T DH,1
IY K AH,IY AH,1
N T EY N Z S,N D S,1
T IH F W,T DH EH N W,1
EY L,EY Y OW L,1
DH EH,DH AH EH,1
D IH D DH,D AH V DH,1
K IH,K L IH,1
IY D IH SH N,IY T AH S T N,1
K R AY,K W AY,1
F AH L M AH,F AH,1
N EY,N D EY,1
 AE N, TH EY R N,1
AA K T,AA T T OW T,1
T IH L,T AH L,1
L Y AH N,L IY IH N,1
N AE T,N AY T,1
Z S T IH L,Z F EY L,1
 P R, F AO R,1
AY AH,AY AO R AH,1
 P UH T, B AH T,3
P F AY V F,P DH AE T F,1
 Y UW W, HH IY W,1
JH D D,JH D,1
AA R K S UW,AA G Z F UW,1
UW T IH N,UW D AH N,1
UW T IH N,UW N,1
 AH, DH AH,2
HH EH L P G,HH AE V G,1
JH UW AH L B,JH AA B,1
ER IH N,ER AH N,1
N T,N D T,1
N IH N,N AH N,1
N V,N D V,1
K IH NG Z R,K AH N D R,1
D AA R K S,D AO G S,4
ER AA R B,ER B,1
N D IH,N IH NG IH,1
IY P S,IY F S,1
S T AA K,S D AO K,1
IH NG Z,IH N Z,1
AH T ER,AH D ER,1
IY D Z DH,IY CH T DH,2
V AH N,V IH N,1
N D DH,N DH,1
N IY DH,N DH,1
DH ER S,DH AH S,1
S AY D,S AH N,1
R AH JH,R JH,1
M AH N,M IH N,1
Z DH AE N,Z AH N,2
N B,N D B,2
W EH R OW,W ER OW,1
N D,N D D,1
IY D B,IY P B,1
T IY N,T AY N,1
UW IH,UW HH IH,1
IH T S R,IH Z R,1
R Z IH Z,R Z,1
AE T,AE S T,1
T S M,T M,1
AW AO,AW T AO,1
M EY ER,M IY ER,1
IY AE Z T,IY S T,1
IY AE Z T,IY Y EH S T,1
Z AE Z,Z HH IH Z,1
DH AH AY R,DH AE T AA R R,1
R AA N,R AH N,1
IH K F,IH NG F,1
R IY M Z,R EY N Z,1
Z AE T T,Z AH V T,1
T OW L G EY,T UW D EY,1
W AO R DH,W AA Z DH,1
IY AO R DH,IY W IH DH DH,1
D IH N,D AH N,1
Y UW AA R,Y OW Y AH R,1
D IH D,D AH D,1
M IY T SH,M EY D SH,1
IY AE N OY L,IY AO L,1
S HH AE Z,S IH Z,1
M P AH,M AH,1
K AE N,K EH N,1
N S,N D S,1
R K,R AH K,2
 D R AA, G AA,1
AA P F,AA T F,1
 HH ER W, DH AH W,2
AH AH B V,AH AA D V,1
R AH M,R M,1
S UH P ER,S AH B M ER,1
ER B S,ER JH D S,1
NG AH V P,NG P,1
R IH S,R IY AH S,1
L AH V Z,L OW Z,1
EH R,EH R AA R,1
S AH S,S AY S,1
AY AA D,AY AH D,1
JH EH F,JH IY F,1
L IY N D SH,L EY M Z SH,1
 AH P, P,1
K HH IY,K TH IY,1
IY T,IY AH T,1
D HH ER,D ER,1
TH AY Z,TH AE Z,1
 R, F R,1
R AA B S,R AH M S,1
 B EH G, M AE G,1
G DH AE T,G N AH T,1
V DH AH K,V D AE T K,1
 DH AH OW EY S, Y AO R AY S,1
S IH S,S AH S,1
T D AH,T DH AH,1
EY Z R,EY S R,1
 AH B AW, N AW,1
AW T D,AW D,1
D AO N,D AH N,1
F AO R,F R,1
V K,V DH AH K,1
 AA B JH EH K T S M EY D AH V P Y UW T ER AA R B Y UW T AH F AH L,,1
EY Z N,EY S N,1
B AH T,B R IH T,1
T DH AH SH,T IH SH SH,1
S OW M,S IH M,1
M EH N IY S,M AH L ER S,1
TH AO T Y,TH ER D IY Y,1
F AH S,F EY S,2
ER N,ER AH N,1
N M,N D M,1
M AH N K,M IH K K,1
Z DH AE,Z AE,1
HH IY IY,HH IY,1
IY T OW,IY D OW,1
AO L K,AO R K,1
AY Z,AY IH Z,1
Z D AH P,Z DH AE T,1
R AA D,R AY D,1
F W AA Z,F AH R D Z,1
UW DH D B AY,UW Z V AY,1
AY DH AH,AY D AH,1
AA G G,AA G,1
G EH T S V,G IH Z V,1
IH G M,IH K M,1
EY G,EY T G,1
DH AH S,DH IH S S,1
M S,M AH N D S,1
T OW L,T IH L,1
K L IY,K W IY,1
N Z SH,N SH,1
 D AE, JH AE,1
AE F N,AE P AH N,1
N Z,N IY Z,1
 AO SH, OW SH,1
 DH EH M, AY AE M,1
 P R AA JH EH K T D IH V EH L AH P M AH N T W AA Z P R AH S IY D IH NG T UW S L OW L IY,,1
 HH IY AO, DH EY AO,1
M D T,M T,1
DH AH N IH R,DH EH R,1
R AH S T S,R S,1
SH TH,SH T TH,1
 EY M T, HH AE V IH NG T,1
 DH EH R W ER K M IH R ER Z DH AH M EH N T AE L AH T IY AH V DH AH S AY K OW P AE TH R, F R,1
N D K,N K,1
M P AO,M AO,1
N T HH,N HH,1
F S,F DH AH S,1
 DH AH IH, IH,1
K T T,K T,1
T UW D,T D,1
 DH AH B, B,1
 AA, W AH T AA,1
SH AH B,SH IH B,1
OY L IY R,OY DH AH R,1
R D,R AH D,1
T AW,T AH N AW,1
EH D AH N D,EH D,1
AY S,AY Z,1
ER AH N D JH,ER JH,1
R EH N,R IH N,1
N D ER AH,N SH UH R AH,1
D,D Z,1
 M IH L K P, N OW P,1
DH IH S,DH AH S,1
S D R,S T R,1
R AH G,R OW K,1
R AH S,R EH S,1
K AH N,K,1
NG P IH L,NG DH OW,1
P T DH,P DH,1
AE N IH N,AE N,1
M IH T,M AH N AH N T,1
 EY T F, IH F,1
F IY L D G,F Y AO R G,1
L AH V DH,L DH,1
 SH, IH F SH,1
 HH IY D K, IH F K,1
 AH M, M,1
