T IH N,T AH N,126
T IH N,T EH N,1
N G,N D G,128
N G,N AH G,1
D HH IH,D IH,1
N AH,N D AH,9
N AH,N T AH,1
Y AO R,Y IH R,2
IY AE N,IY AA N,3
IY AE N,IY AH N,9
M AA K D,M AY D,1
 AA HH AA, AA,1
D AH V,D IH V,1
R S,R S T S,1
AH V,AH V V,1
V AE K CH,V ER CH,1
CH AH W AH,CH UW AH,1
Y UW T ER AA R,Y UH R,1
R B,R AH B,1
R W AO,R M AO,1
R N,R AA N,1
 D AA N T D UW CH AA R L IY Z D ER T IY D IH SH AH Z,,1
M AH N S,M S,1
T AH K,T AA K,1
 AA R T AH F IH SH AH L IH N T EH L AH JH AH N S IH Z F AO R R IY L,,1
W ER M,W AO R M,2
UW L IY,UW W IY,3
L EY K,L AY K,1
 D AE, DH AH AE,1
S AH Z,S ER Z,1
S AH NG,S AO NG,1
D S L,D L,1
UW DH D,UW D,5
N K,N D K,4
N K,N T K,1
F D AH N EH N IY TH IH NG F,F DH AE T AY P EY F,1
 B IY IH, DH AH IH,1
 AH B IH, DH EY P IH,1
IH G G,IH K G,1
IH G G,IH G,1
D L,D IY L,1
IY AE M B,IY EY B,1
L D TH R UW,L T UW,1
N DH AH T W,N W,1
L F TH,L TH,1
TH D EY,TH DH EY,1
W EH L,W IH L,7
AH EH G S,AH S,1
 SH IY W AO R W AO R M F L IY S IY W UH L AH N OW V ER AO L Z,,1
L D DH,L DH,5
R IH Z,R Z,2
R AH P,R P,4
 W AY CH AA R JH M AH N IY F AO R S AH CH G AA R B IH JH,,1
IY IH N D IH K EY T S AH,IY AH,1
W UH D JH,W IH DH JH,1
 B R, R,1
OY L,OY AH L,1
V HH ER ER,V ER,2
V HH ER ER,V AH ER,1
JH F,JH D F,2
NG AE T,NG IH T,1
 HH IH Z SH, DH AH SH,1
HH AE D Y AO R D,HH EY AH D,1
AA SH W,AA CH W,9
W AO T,W AH T,5
T ER AO,T AO,2
T ER AO,T AA R AO,2
K M IY T,K T,1
IY AE N OY L,IY IH NG AO L,2
L IY R AE G L,L ER AW N D L,1
 B AH, DH AH,1
AH T W,AH W,1
N AE Z S,N AH N D S,1
S UW N AE Z W,S OW W,1
EH R IY T UW R,EH R,1
S IH R K,S ER K,1
T S AH,T AH,7
 B IH F, F,1
R TH ER Z D EY Z,R DH OW Z,1
M R,M Z R,1
UW EH V,UW AH V,1
V ER IY F,V AH F,1
AY AA D,AY AO D,1
AY AA D,AY AH D,2
N,N D,1
AH S EH N T R AH,AH AH,1
UW JH P,UW T UW P,1
IY N Z SH,IY S SH,1
D Y AO R D,D T UW D,2
D Y AO R D,D D,1
W AO T ER AO,W EH R AO,1
W AO T ER AO,W AY TH EY R AO,1
Y IH R,Y UW,2
Y IH R,Y AO R,1
N OY L IY R,N D AO R DH AH R,1
N OY L IY R,N AO R R,1
N OY L IY R,N DH AH R,1
 Y UW T, IH T T,1
V AH S,V IH S,1
N T R AH,N SH AH,1
K W IH DH L,K R IY AH L,1
AY N Z,AY Z,1
Z T UW IY,Z IY,1
HH AW S IH Z,HH AE Z,1
Z N,Z AH N,1
N AA T IH N,N D N AY N,1
OY EH V ER IY F AY L R,OY R,1
IH L EY T IH,IH F ER IH,1
IH D T,IH NG T,1
 AE L AH S AH Z, HH IH Z,1
ER D OW,ER OW,1
NG R UW M M,NG M,1
UW W AY L W,UW AA R W,2
 M IH D IY V AH L S, S,1
 Y UW Y, Y,1
P Y UW T,P IY T,3
AH S,AH S P AY D ER S,1
Z R AH,Z W AH,1
M TH EY R,M DH EH R,1
R W AO R N,R AA N,1
T ER R,T AH L R,1
M S,M Z S,1
AH P ER,AH F ER,1
B UH K,B AA K,1
K S,K S S,1
S AA R F,S OW F,1
F AO R SH,F AH SH,1
V HH ER ER EY N,V AH R AE N,1
N JH F AO R AH M,N CH ER M,1
N OY L,N ER L,3
N OY L,N D AO L,5
N OY L,N D OW N L,1
N OY L,N OW N L,1
N OY L,N AO L,2
UW B IH L,UW L,1
V IH N,V AH N,1
N F,N D F,3
N F,N AH F,1
L IH,L IY IH,2
L AH V,L HH AE V,1
L AH V,L IH V,1
F HH IY W,F Y UW W,2
N D SH,N SH,1
N D SH,N Z SH,1
D IH,D AH Z CH IH,1
IH D N,IH K AH N,1
N T CH,N CH,1
N AW,N D AW,1
 V EY, F EY,1
S AA R,S AO R,5
S N,S AH N D N,1
T IH S,T AH S,2
 B AE L EY Z W, DH AH W,1
Z AH M,Z M,1
AH V M,AH M,1
UW B AY,UW F AY,1
AY EH N,AY N,1
N IY K,N D AH K,1
K AO,K W AO,1
R D ER,R T ER,1
R D ER,R N ER,1
ER OY,ER R OY,1
W AO R AH B,W ER B,1
 IH G, DH AH G,1
 IH G, G,1
 IH G, HH IY G,1
G W AA N,G Y UW AH N,2
G W AA N,G AO N,1
N AH Z,N AE Z,3
Z AH N,Z AE N,1
Z AH N,Z N,1
Z AH N,Z IH N,1
N D AE,N AE,3
ER Z AA R T,ER T,1
SH IY HH AE D,SH UH D,1
SH IY HH AE D,SH EH R D,2
IY AE N OY L IY R,IY IH NG AO R DH AH R,1
IY IH NG AH,IY D AH,1
D AH D AH M B,D ER B,1
R EH L,R AO L,1
L AH AE,L AE,1
 IH F DH AH F, F,1
M IH Z,M ER Z,1
M IH Z,M AE Z,2
IY AA R,IY AO R,7
R W UH D B,R B,1
B B,B ER AH B,1
N D P,N P,3
Z IH N,Z AH N,8
B AA N F,B AO L F,1
F AY ER,F AA R,1
EY D Z HH,EY T HH,2
EY D Z HH,EY S HH,1
L AA AE,L AO AE,4
R AH N,R N,1
N OY IH,N OW IH,1
L AA R W,L AW ER W,1
L IY N Z SH,L EY M D SH,1
DH AE T,DH EH R,3
DH AE T,DH EH M,1
R EH,R AH N D EH,1
R B B,R B,4
ER N D P,ER AH P,3
AE D Y,AE Z Y,3
N G R IY S IY W,N Y UW W,1
 D IH V ER, DH AH F ER,1
ER S,ER S T S,2
ER S,ER Z S,3
S AH T,S IH T,1
AH V P,AH P,1
R D DH,R DH,3
Z D DH,Z DH,2
M AH N,M EH N,1
Z AA R,Z AO R,8
P EH K,P AE K,6
P EH K,P IH K,1
K AH V P,K P AE K ER P,1
N AH B,N AY B,1
B IH G,B EH G,1
S T D,S D,1
S K F,S F,1
D EH K,D EY,1
K L IH D F,K W EY F,1
