T IH N,T AH N,130
T IH N,T M IY N,1
T IH N,T EH N,1
N G,N D G,128
N G,N AH G,1
D HH IH,D IH,1
N AH,N D AH,11
N AH,N T AH,1
Y AO R,Y IH R,2
IY AE N,IY AA N,3
IY AE N,IY AH N,7
IY AE N,IY N,1
M AA K D,M AY D,1
 AA HH AA, AA,1
IY TH AO,IY S AO,1
AO T AH,AO AH,1
D AH V,D IH V,1
R S,R S T S,1
AH V,AH V V,1
V AE K CH,V ER CH,1
CH AH W AH,CH UW AH,1
Y UW T ER AA,Y UH R AA,1
R B,R AH B,2
R W AO,R M AO,1
R N,R AA N,1
 D AA N T D UW CH AA R L IY Z D ER T IY D IH SH AH Z,,1
M AH N S,M S,1
T AH K,T AA K,1
 DH AH, AH,2
 DH AH, Y OW Y AH,1
W ER M,W AO R M,2
S IY W,S DH AH W,1
S IY W,S Y UW W,2
S AH NG,S AO NG,1
 M AY, AY,1
D S L,D L,1
DH D B,DH B,2
N K,N D K,4
N K,N T K,1
AO L Y,AO R Y,4
AO L Y,AO R AA R Y,1
F D AH N EH N IY TH IH NG F,F DH AE T AY HH EY T F,1
AH B IH G G,AH P EH T G,1
D L,D IY L,1
IY AE M B,IY EY B,1
L D TH R UW,L T UW,1
R EH NG K TH M,R IY T S M,1
AH T W,AH S W,1
W EH L F TH,W AA TH,1
TH D EY,TH DH EY,1
W EH L,W IH L,7
N IH Z,N AE Z,2
N IH Z,N HH AE Z,1
 SH IY W AO R W AO R M F L IY S IY W UH L AH N OW V ER AO L Z,,1
L D DH,L DH,4
R IH Z,R Z,1
R IH Z,R AE Z,1
R AH P,R P,4
 W AY CH AA R JH M AH N IY F AO R S AH CH G AA R B IH JH,,1
D IH K,D AH K,1
T S AH,T AH,7
W UH D JH,W IH DH JH,1
L AO R,L AA R,1
ER Z,ER IH Z,1
ER Z,ER TH,2
V HH ER ER,V ER,3
V HH ER ER,V AH ER,1
JH F,JH D F,3
NG AE T,NG IH T,1
HH AE D Y AO R D,HH EY AH D,1
W AO T,W AA N T,1
W AO T,W AH T,2
T ER AO,T T UW AO,1
T ER AO,T AO,1
T ER AO,T AA R AO,1
AE S K,AE K,1
K M IY,K CH UW AH L IY,1
IY T UW K,IY K,1
IY T UW K,IY DH EY K,1
IY AE N OY L,IY IH NG AO L,2
IY AE N OY L,IY IH NG ER L,1
L IY R AE G L,L ER AW N D L,1
N AE Z S,N AH N D S,1
S UW N AE Z W,S OW W,1
EH R IY T UW R,EH R,1
R IH L,R EY L,1
S IH R K,S ER K,1
EY Z IH,EY IH,1
M R,M P R,1
UW EH V,UW AH V,1
V ER IY F,V AH F,1
AY AA D,AY AO D,2
AY AA D,AY AO R D,1
AY AA D,AY AH D,3
N,N D,2
IY N Z SH,IY S SH,1
D Y AO R D,D T UW D,2
D Y AO R D,D D,1
AA SH W AO,AA CH F AO,1
AO T ER AO,AO R AO,1
AO T ER AO,AO R F AO,1
Y IH R,Y AO R,1
Y IH R,Y UW,1
 Y UW T, HH IY T,1
V AH S,V IH S,1
N T R AH,N SH AH,1
K W IH DH L,K R IY AH L,1
AY N Z,AY Z,1
Z T UW IY,Z D IY,1
HH AW S IH,HH AE Z IH,1
IH Z N,IH T S N,1
N AA T IH N,N AY N,1
OY EH V ER IY F AY L R,OY R,1
IH L EY T IH,IH F ER IH,1
IH D T,IH NG T,1
 AE L AH S, HH AW S,1
NG R UW M M,NG AH M,1
UW W AY L W,UW AA R W,2
L Y IH R,L IY R,1
P Y UW T,P IY T,1
AH S,AH S P AY D ER S,1
AH S,AH S S,1
Z R AH,Z W AH,1
M TH EY R,M DH EH R,1
R W AO R N,R AA N,1
T ER R,T AH L R,1
M S,M Z S,1
P ER Z,P OW Z,1
K S,K S S,1
S AA R F,S OW F,1
F AO R SH,F AH SH,1
K AE R,K EH R,4
K AE R,K AO R,1
R IY AE,R AE,1
V HH ER ER EY N,V AH R AE N,1
N JH F AO R AH M,N CH ER M,1
N OY L,N ER L,4
N OY L,N D AO L,5
N OY L,N OW N L,1
N OY L,N OW L,1
N OY L,N D OW N L,1
N OY L,N AO L,2
V IH N,V AH N,1
N F,N D F,3
N F,N AH F,1
L IH,L IY IH,2
L AH V,L HH AE V,1
L AH V,L IH V,1
F HH IY W,F Y UW W,2
N D SH,N SH,1
S AA R,S AO R,6
S N,S AH N D N,1
IH S T S,IH S,2
K DH AE,K P AE,1
K DH AE,K B AE,1
AE T,AE TH,1
AE T,AE K,1
 B AE L, P AH L,1
L EY Z W,L IY S W,1
Z AH M,Z M,1
N AH V M,N M,1
W AO R,W EH R,1
 IH G, AH G,1
 IH G, HH IY G,1
 IH G, G,1
G W AA N,G Y UW AH N,2
G W AA N,G AO N,1
N AH Z,N AE Z,4
Z AH N,Z AE N,1
Z AH N,Z N,1
Z AH N,Z IH N,1
N D AE,N AE,3
ER Z AA R T,ER T,1
SH IY HH AE D,SH UH D,1
SH IY HH AE D,SH EH R D,2
Y AO R D,Y UW D,2
R IY IH,R IH,1
IH NG AH,IH N AH,1
D AH D AH,D ER AH,1
AH AE Z,AH Z,1
F DH AH,F AH,1
M IH Z,M ER Z,1
M IH Z,M AE Z,2
IY AA R,IY AO R,7
R W UH D B,R B,1
R B B,R B,4
ER N D P,ER AH P,4
Z IH N,Z AH N,8
AA N F,AA M F,1
F AY ER,F AA R,1
UW IH N,UW AH N,1
N IH,N D IH,1
EY D Z HH,EY T HH,2
EY D Z HH,EY S HH,1
L AA AE,L AO AE,4
L AA R W,L AW ER W,1
D AA R,D AO R,1
N UH R S,N UW V ER S,1
L IY N Z SH,L IH R SH,1
DH AE T,DH EH R,2
R EH N,R AH N,2
D ER AH N S,D D EH TH S,1
D ER AH N S,D Y AO R IH T,1
L IY V,L IH V,1
 SH IY, S IY,2
AE D Y,AE Z Y,1
N G R,N K R,1
N G R,N D B R,1
 D IH V ER, DH AH F ER,1
ER S,ER S T S,1
ER S,ER Z S,3
ER S,ER W AA Z S,1
S AH T,S IH T,1
AH V P,AH P,1
AH V P,AH P P,1
R D DH,R DH,3
Z D DH,Z DH,2
V W AO,V F AO,2
V W AO,V AO,3
M AH N,M EH N,1
Z TH IH N ER,Z S T AH T ER,1
ER DH AE N,ER Z AH N,1
N AY,N D AY,1
Z AA R,Z AO R,9
AH P,AH P P,2
