T IH N,T AH N,93
T IH N,T S AH N,1
T IH N,T IY AH N,1
N G,N D G,93
N G,N D DH AH G,1
N G,N T G,1
DH IH S,DH AH S,1
S D AY,S T AY,1
AY V S,AY L S,1
R M,R AH M,1
R M,R AH M M,1
 HH, W IH DH HH,1
 HH, IH F HH,2
 HH, W IY HH,1
 HH, DH AH HH,1
 HH, IH T W UH D HH,1
 HH, Y AE HH,1
V OW N L IY S,V S,1
S AH N D B L,S L,1
L AW S,L AE P S,1
S AH Z,S IH Z,1
S AH Z,S HH AE Z,1
AA R K S UW,AA G Z T UW,3
UW T IH N G,UW G,1
M AA K D,M AY D,1
 AA HH, HH AE HH,1
HH AA HH,HH AH HH,1
D AH V,D IH V,1
R S,R S S,1
N DH AH S,N S,3
M AA D AH L,M AY L,1
L IH NG K,L EY T K,1
L EY R,L AE S R,1
S AH V DH AH,S AH,1
 SH, IH F SH,12
 SH, AH S P EH SH,1
 SH, W EH L SH,2
 SH, DH AH SH,2
 SH, W EH N SH,2
 SH, B IH K AO Z SH,1
 SH, Y AE SH,2
 SH, AY N OW SH,1
 SH, W IH SH,2
 SH, IH T SH,1
 SH, AY SH,1
 SH, DH EH N SH,1
UW T IH N G R IY S IY W,UW W,4
 D, AY D,4
 D, DH AH D,1
 D, AH N D D,3
 D, Y UW D,2
 D, P L IY Z D,1
 D, IH F DH AH D,1
N HH IH M AO,N AO,1
 K L IH F W AA Z S UW DH D B AY DH, DH,1
AH L AH G ZH ER IY,AH S IH R IY,1
S M AH S AA,S JH AA,1
AA ZH,AA SH,1
AA ZH,AA R JH,1
 D AA, AY W AA,1
AA N T AE S K M IY T UW K AE R IY AE N,AA Z OW N,1
N OY L,N L,1
N OY L,N D W AY D L,1
N OY L,N ER L,2
N OY L,N AO R M AH L,2
N OY L,N D AO L,2
N OY L,N D OW N L,2
N OY L,N OW L,1
N OY L,N OW N L,1
N OY L,N AO L,2
IY R AE,IY AE,1
AE G L AY K,AE S K,1
K DH AE T,K IH NG W AY,1
IY HH AE Z,IY W AA Z,1
F D AH N EH N IY TH IH NG F AO R W IH CH T,F DH AE T,1
T UW B IY HH,T AY HH,1
 B IY IH, IH,1
Z HH IY K,Z IH T K,1
ER Z B,ER B,1
AH B IH,AH P IH,1
D L,D AH L,1
D L,D DH AH L,1
L IY AE M B,L DH AH EY B,1
L D TH R UW,L T UW,1
 IY T, IH T,1
IH NG S,IH Z S,1
S AH Z S,S IH NG S,1
TH M,TH S M,1
TH D EY,TH DH EY,1
W EH L,W IH L,3
 SH IY W, IH F Y UW W,1
W AO R W,W AA N T W,1
W UH L,W IH L,1
W UH L,W EH L,1
L AH N OW,L IH NG OW,1
L D DH,L DH,2
M DH AH B L,M L,1
IY CH ER Z,IY JH AH N,1
R AH P,R P,2
 W AY CH AA R JH M AH N IY F AO R S AH CH G AA R B IH JH,,1
 SH IY HH, AY HH,1
 SH IY HH, IH F Y UW HH,3
 SH IY HH, Y UW HH,1
 SH IY HH, HH,1
L IH T,L AH N T,1
W UH D JH,W IH DH JH,1
 B R, IH T S R,1
OY L,OY AH L,1
 DH AH EH M, G AE M,1
B L AH,B AH,1
AH M D IH,AH L IH,1
IH P IH,IH NG IH,1
IH K T S DH AH AH K R,IH N R,1
AA P AH,AA M Y AH,1
S AO L AH G L OW,S,1
V HH ER ER,V ER,4
JH F,JH D F,4
NG AE T,NG IH T,3
NG AE T,NG N EH K S T,1
 HH IH Z SH, DH AH SH,2
 HH IH Z SH, S AO R T SH,1
W ER B R,W AA Z N T R,1
