D Y AO R D,D HH ER D,30
D Y AO R D,D AH D,14
D Y AO R D,D DH AH D,6
D Y AO R D,D T UW D,5
D Y AO R D,D T UW AH D,2
D Y AO R D,D N OW D,1
D Y AO R D,D B IH N D,1
D Y AO R D,D D,1
D Y AO R D,D T ER N D D,1
T IH N,T AH N,65
T IH N,T EH N,1
N G,N D G,54
S IY,S HH IY,1
SH W,SH T W,2
L Y IH R,L HH ER,37
L Y IH R,L,3
L Y IH R,L EY ER,1
L Y IH R,L AH R,1
L Y IH R,L S OW,1
L Y IH R,L ER,1
Z TH IH N AH N,Z S T AE N,1
D HH,D IH NG HH,1
DH IH S,DH AH S,3
S D AY,S K AY,1
AY V S,AY S,1
 P IY T, D IH T,1
 P IY T, IH T,4
 P IY T, T,1
T S ER IY AH Z AA R,T IH R,1
T S ER IY AH Z AA R,T AO R,1
R K AH N V IY,R IY,2
IY N Y AH,IY ER EY SH AH,1
IY N Y AH,IY AH,2
N T F,N F,3
N T F,N D F,1
 P UH T, B AH T,6
 P UH T, DH AE T,1
 D R, T R,1
 D R, R,1
R AA P F,R AE F,1
F AY V F,F AH F,1
F AO R,F AH R,1
F AO R,F R,7
R M Z IH N,R D AA N,1
R Y UW G,R HH IY G,4
Y AO R D,Y UW D,3
D AA R K S,D AH N S,1
D AA R K S,D AH S,1
D AA R K S,D UW S,3
D AA R K S,D AO G S,2
D AA R K S,D AE N S,1
S UW T IH,S OW IH,3
S UW T IH,S AH N IH,2
S UW T IH,S IH,1
S IY W,S W,14
S IY W,S IH NG W,21
S IY W,S Y UW W,2
S IY W,S ER D W,1
AA SH W,AA Z W,10
AA SH W,AA CH W,14
AA SH W,AA S T W,5
AA SH W,AA CH T W,1
K M IY T,K IH T,1
K M IY T,K T,2
T UW K,T AY K,1
IY AE N OY,IY EY OY,1
IY AE N OY,IY AH OY,2
OY L IY,OY AH JH IY,1
IY R AE G L AY K DH,IY DH,1
IY R AE G L AY K DH,IY TH ER IH JH DH,1
IY R AE G L AY K DH,IY AH N S DH,1
IY R AE G L AY K DH,IY AH D DH,1
 HH AH S, AE S,1
K IY Y,K Y,1
DH M AA K D,DH AE N D,1
T EY S,T AH N S,1
S T,S,1
S T,S K AE T,1
 AA HH AA HH IY TH, AY TH,1
T AH L AH,T IH T M AH,1
AH SH D,AH CH D,1
D AH V,D IH V,1
S IY AE,S DH AE,1
T L AE S T,T W AA Z,1
T EH K N IH,T AH G AA R IH,1
K AH L,K L,2
K AH L,K AA L,1
L IH F IH SH AH N S IY,L IY,1
IY IH Z,IY AE Z,2
IY IH Z,IY Z,1
Z AH CH IY V D AE,Z K EY M AE,1
V AE K CH AH W AH,V M EH N T AH,1
 AA B JH EH K T, IH T,1
 AA B JH EH K T, P AE T,1
T S M,T M,3
T S M,T UW M,1
AH V P,AH P,3
P Y UW T,P UH T,1
P Y UW T,P IY T,2
P Y UW T,P EH T,1
T ER AA R B Y UW T AH F,T IY F,1
DH AH S,DH IH S,1
DH AH S,DH ER S,1
S P AY,S S AY,1
D ER W EH B G,D AH V IH N G,1
S AH,S T AH,2
S AH,S DH AH,1
N D IH N,N AH N,2
N DH,N D DH,2
M TH EY R,M DH EH R,4
UW CH AA R L,UW K AE L,1
L IY Z D ER T,L IH T,1
L IY Z D ER T,L S T,1
