D Y AO R D,D HH ER D,22
D Y AO R D,D AH D,13
D Y AO R D,D DH AH D,5
D Y AO R D,D T UW D,4
D Y AO R D,D AH D D,1
T IH N,T AH N,103
N G,N D G,105
S IY,S HH IY,11
AA SH W,AA CH T W,1
AA SH W,AA Z W,8
AA SH W,AA CH W,8
AA SH W,AA S T W,4
DH IH S,DH AH S,3
S D AY V,S T OW V,1
T S ER,T ER,2
ER IY AH Z AA R K AH,ER S AH,1
N V IY N Y AH N,N EH N,1
 P UH T, B AH T,6
L AA K,L AE K,2
 D R, B R,1
R AA P F AY V F,R AO T IH T F,1
S UW T,S UH T,7
S UW T,S AE T,1
S UW T,S IY T,1
S UW T,S EH T,3
S IY W,S W,24
S IY W,S IH NG W,2
S IY W,S Y UW W,2
HH AH S K IY Y,HH AE Z Y,1
DH M AA K D,DH AH D,1
 AA HH AA, AA,1
AH L,AH B L,1
AH L,AH OW L,1
AH L,AH IH L,1
D AH V,D IH V,1
S IY AE,S AE,1
S T EH K N IH K AH,S DH AH,1
AH L IH,AH AY S IH,1
AH V P,AH P,2
P Y UW T ER AA R,P IH R,1
P Y UW T ER AA R,P IH R AO R,1
R B,R AH B,1
R AH N,R AE N,1
R AH N,R N,1
M TH EY R W,M DH AH W,1
L IY Z,L Z,4
K AE L S,K EY S,2
S IY AH M M,S M,2
EY K S,EY T S,2
IY V AA,IY AA,1
M AH N,M AA N,1
M AH N,M EH N,2
M AH N,M IH N,2
T AH K,T AA K,1
M AA D AH L,M EY N L,1
L IH NG K L EY R,L IY R,1
L Z,L,12
L L EY K,L W AY T,1
Y IH R,Y UW,2
 D AE, DH AH AE,1
N S AH Z,N T AY Z,1
S AH NG,S AO NG,1
K AH N,K IH N,1
N V ER,N DH AH F ER,1
S AH Z,S T,1
S AH Z,S IH Z,3
S AH Z,S IY,1
IY AW AO,IY T AO,2
IY AW AO,IY L AO,2
IY AW AO,IY AO,1
M AH S,M EH S,5
S AA ZH,S AH JH,5
S AA ZH,S AY D,1
