,true_text_path,true_text,text_transcription,pred_text_path,pred_text,pred_transcription
0,archive/data/TEST\DR1\FAKS0\SA1.TXT,"['SHE', 'HAD', 'YOUR', 'DARK', 'SUIT', 'IN', 'GREASY', 'WASH', 'WATER', 'ALL', 'YEAR']","['SH', 'IY', 'HH', 'AE', 'D', 'Y', 'AO', 'R', 'D', 'AA', 'R', 'K', 'S', 'UW', 'T', 'IH', 'N', 'G', 'R', 'IY', 'S', 'IY', 'W', 'AA', 'SH', 'W', 'AO', 'T', 'ER', 'AO', 'L', 'Y', 'IH', 'R']",output_rwn_1\DR1/FAKS0/SA1.WAV.txt,"['THE', 'TAPESTRY']","['DH', 'AH', 'T', 'AE', 'P', 'AH', 'S', 'T', 'R', 'IY']"
1,archive/data/TEST\DR1\FAKS0\SA2.TXT,"['DONT', 'ASK', 'ME', 'TO', 'CARRY', 'AN', 'OILY', 'RAG', 'LIKE', 'THAT']","['D', 'AA', 'N', 'T', 'AE', 'S', 'K', 'M', 'IY', 'T', 'UW', 'K', 'AE', 'R', 'IY', 'AE', 'N', 'OY', 'L', 'IY', 'R', 'AE', 'G', 'L', 'AY', 'K', 'DH', 'AE', 'T']",output_rwn_1\DR1/FAKS0/SA2.WAV.txt,['SPARE'],"['S', 'P', 'EH', 'R']"
2,archive/data/TEST\DR1\FAKS0\SI1573.TXT,"['HIS', 'CAPTAIN', 'WAS', 'THIN', 'AND', 'HAGGARD', 'AND', 'HIS', 'BEAUTIFUL', 'BOOTS', 'WERE', 'WORN', 'AND', 'SHABBY']","['HH', 'IH', 'Z', 'K', 'AE', 'P', 'T', 'AH', 'N', 'W', 'AA', 'Z', 'TH', 'IH', 'N', 'AH', 'N', 'D', 'HH', 'AE', 'G', 'ER', 'D', 'AH', 'N', 'D', 'HH', 'IH', 'Z', 'B', 'Y', 'UW', 'T', 'AH', 'F', 'AH', 'L', 'B', 'UW', 'T', 'S', 'W', 'ER', 'W', 'AO', 'R', 'N', 'AH', 'N', 'D', 'SH', 'AE', 'B', 'IY']",output_rwn_1\DR1/FAKS0/SI1573.WAV.txt,"['I', 'WANT', 'WERE', 'WORN', 'AND', 'SHABBY']","['AY', 'W', 'AA', 'N', 'T', 'W', 'ER', 'W', 'AO', 'R', 'N', 'AH', 'N', 'D', 'SH', 'AE', 'B', 'IY']"
3,archive/data/TEST\DR1\FAKS0\SI2203.TXT,"['THE', 'REASONS', 'FOR', 'THIS', 'DIVE', 'SEEMED', 'FOOLISH', 'NOW']","['DH', 'AH', 'R', 'IY', 'Z', 'AH', 'N', 'Z', 'F', 'AO', 'R', 'DH', 'IH', 'S', 'D', 'AY', 'V', 'S', 'IY', 'M', 'D', 'F', 'UW', 'L', 'IH', 'SH', 'N', 'AW']",output_rwn_1\DR1/FAKS0/SI2203.WAV.txt,"['THE', 'REASONS', 'FOR', 'THE', 'SKIES', 'SEEMED', 'FLOW']","['DH', 'AH', 'R', 'IY', 'Z', 'AH', 'N', 'Z', 'F', 'AO', 'R', 'DH', 'AH', 'S', 'K', 'AY', 'Z', 'S', 'IY', 'M', 'D', 'F', 'L', 'OW']"
4,archive/data/TEST\DR1\FAKS0\SI943.TXT,"['PRODUCTION', 'MAY', 'FALL', 'FAR', 'BELOW', 'EXPECTATIONS']","['P', 'R', 'AH', 'D', 'AH', 'K', 'SH', 'AH', 'N', 'M', 'EY', 'F', 'AO', 'L', 'F', 'AA', 'R', 'B', 'IH', 'L', 'OW', 'EH', 'K', 'S', 'P', 'EH', 'K', 'T', 'EY', 'SH', 'AH', 'N', 'Z']",output_rwn_1\DR1/FAKS0/SI943.WAV.txt,"['PRODUCTION', 'MAY', 'FALL', 'FAR', 'BELOW', 'EXPECTATIONS']","['P', 'R', 'AH', 'D', 'AH', 'K', 'SH', 'AH', 'N', 'M', 'EY', 'F', 'AO', 'L', 'F', 'AA', 'R', 'B', 'IH', 'L', 'OW', 'EH', 'K', 'S', 'P', 'EH', 'K', 'T', 'EY', 'SH', 'AH', 'N', 'Z']"
5,archive/data/TEST\DR1\FAKS0\SX133.TXT,"['PIZZERIAS', 'ARE', 'CONVENIENT', 'FOR', 'A', 'QUICK', 'LUNCH']","['P', 'IY', 'T', 'S', 'ER', 'IY', 'AH', 'Z', 'AA', 'R', 'K', 'AH', 'N', 'V', 'IY', 'N', 'Y', 'AH', 'N', 'T', 'F', 'AO', 'R', 'AH', 'K', 'W', 'IH', 'K', 'L', 'AH', 'N', 'CH']",output_rwn_1\DR1/FAKS0/SX133.WAV.txt,"['THE', 'SEASON']","['DH', 'AH', 'S', 'IY', 'Z', 'AH', 'N']"
6,archive/data/TEST\DR1\FAKS0\SX223.TXT,"['PUT', 'THE', 'BUTCHER', 'BLOCK', 'TABLE', 'IN', 'THE', 'GARAGE']","['P', 'UH', 'T', 'DH', 'AH', 'B', 'UH', 'CH', 'ER', 'B', 'L', 'AA', 'K', 'T', 'EY', 'B', 'AH', 'L', 'IH', 'N', 'DH', 'AH', 'G', 'ER', 'AA', 'ZH']",output_rwn_1\DR1/FAKS0/SX223.WAV.txt,"['BUT', 'FATE']","['B', 'AH', 'T', 'F', 'EY', 'T']"
7,archive/data/TEST\DR1\FAKS0\SX313.TXT,"['DROP', 'FIVE', 'FORMS', 'IN', 'THE', 'BOX', 'BEFORE', 'YOU', 'GO', 'OUT']","['D', 'R', 'AA', 'P', 'F', 'AY', 'V', 'F', 'AO', 'R', 'M', 'Z', 'IH', 'N', 'DH', 'AH', 'B', 'AA', 'K', 'S', 'B', 'IH', 'F', 'AO', 'R', 'Y', 'UW', 'G', 'OW', 'AW', 'T']",output_rwn_1\DR1/FAKS0/SX313.WAV.txt,['BROADFOOT'],"['B', 'R', 'AO', 'D', 'F', 'UH', 'T']"
8,archive/data/TEST\DR1\FAKS0\SX403.TXT,"['HER', 'WARDROBE', 'CONSISTS', 'OF', 'ONLY', 'SKIRTS', 'AND', 'BLOUSES']","['HH', 'ER', 'W', 'AO', 'R', 'D', 'R', 'OW', 'B', 'K', 'AH', 'N', 'S', 'IH', 'S', 'T', 'S', 'AH', 'V', 'OW', 'N', 'L', 'IY', 'S', 'K', 'ER', 'T', 'S', 'AH', 'N', 'D', 'B', 'L', 'AW', 'S', 'AH', 'Z']",output_rwn_1\DR1/FAKS0/SX403.WAV.txt,['SISTER'],"['S', 'IH', 'S', 'T', 'ER']"
9,archive/data/TEST\DR1\FAKS0\SX43.TXT,"['ELDERLY', 'PEOPLE', 'ARE', 'OFTEN', 'EXCLUDED']","['EH', 'L', 'D', 'ER', 'L', 'IY', 'P', 'IY', 'P', 'AH', 'L', 'AA', 'R', 'AO', 'F', 'AH', 'N', 'IH', 'K', 'S', 'K', 'L', 'UW', 'D', 'AH', 'D']",output_rwn_1\DR1/FAKS0/SX43.WAV.txt,"['ELDERLY', 'PEOPLE', 'ARE']","['EH', 'L', 'D', 'ER', 'L', 'IY', 'P', 'IY', 'P', 'AH', 'L', 'AA', 'R']"
